"Country","Year","The sale of all smokeless tobacco products is completely banned","Law mandates that health warnings appear on smokeless tobacco packages","Percentage of principal display area mandated to be covered by health warnings - front and back of smokeless tobacco packaging","Percentage of principal display area mandated to be covered by health warnings - front of smokeless tobacco packaging","Percentage of principal display area mandated to be covered by health warnings - back of smokeless tobacco packaging","Does the law mandate specific health warnings on smokeless tobacco packaging?","How many health warnings are approved by the law for smokeless tobacco packaging?","Do health warnings appear on each smokeless tobacco package and any outside packaging and labelling used in the retail sale?","Do health warnings on smokeless tobacco packaging describe the harmful effects of tobacco use on health?","Does the law mandate font style, font size and colour of health warnings on smokeless tobacco packaging?","Are the health warnings on smokeless tobacco packaging rotating?","Are the health warnings on smokeless tobacco packaging written in the principal language(s) of the country?","Do the health warnings on smokeless tobacco packaging include a photograph or graphic?"
"South Africa","2010","No","Yes","15","15","0","Yes","1","Yes","Yes","Yes","Yes","Yes","No"
"South Africa","2007","No","Yes","15","15","0","Yes","1","Yes","Yes","Yes","Yes","Yes","No"
"South Sudan","2014","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"South Sudan","2012","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"South Sudan","2010","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"South Sudan","2007","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Spain","2014","No","Yes","15","30","0","Yes","1","Yes","Yes","Yes","No","Yes","No"
"Spain","2012","No","Yes","15","30","0","Yes","1","Yes","Yes","Yes","No","Yes","No"
"Spain","2010","No","Yes","15","30","0","Yes","1","Yes","Yes","Yes","No","Yes","No"
"Spain","2007","No","Yes","15","30","0","Yes","1","Yes","Yes","Yes","No","Yes","No"
"Sri Lanka","2014","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Sri Lanka","2012","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Sri Lanka","2010","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Sri Lanka","2007","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Sudan","2014","No","Yes","15","30","0","Yes","1","No","No","No","Yes","Yes","No"
"Sudan","2012","No","Yes","15","30","0","Yes","1","No","No","No","Yes","Yes","No"
"Sudan","2010","No","Yes","15","30","0","Yes","1","No","No","No","Yes","Yes","No"
"Sudan","2007","No","Yes","15","30","0","Yes","1","No","No","No","Yes","Yes","No"
"Suriname","2014","No","Yes","50","50","50","No","0","Yes","No","No","No","No","Yes"
"Suriname","2012","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Suriname","2010","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Suriname","2007","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Sweden","2014","No","Yes","15","30","0","Yes","1","Yes","Yes","Yes","No","Yes","No"
"Sweden","2012","No","Yes","15","30","0","Yes","1","Yes","Yes","Yes","No","Yes","No"
"Sweden","2010","No","Yes","15","30","0","Yes","1","Yes","Yes","Yes","No","Yes","No"
"Sweden","2007","No","Yes","15","30","0","Yes","1","Yes","Yes","Yes","No","Yes","No"
"Switzerland","2014","No","Yes","18","35","0","Yes","1","Yes","Yes","Yes","No","Yes","No"
"Switzerland","2012","No","Yes","18","35","0","Yes","1","Yes","Yes","Yes","No","Yes","No"
"Switzerland","2010","No","Yes","18","35","0","Yes","1","Yes","Yes","Yes","No","Yes","No"
"Switzerland","2007","No","Yes","18","35","0","Yes","1","Yes","Yes","Yes","No","Yes","No"
"Syrian Arab Republic","2014","No","Yes","Not specified","Not specified","Not specified","Yes","1","Yes","Yes","No","No","Yes","No"
"Syrian Arab Republic","2012","No","Yes","Not specified","Not specified","Not specified","Yes","1","Yes","Yes","No","No","Yes","No"
"Syrian Arab Republic","2010","No","Yes","Not specified","Not specified","Not specified","Yes","1","Yes","Yes","No","No","Yes","No"
"Syrian Arab Republic","2007","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Tajikistan","2014","No","Yes","Not specified","Not specified","Not specified","No","No","No","No","No","No","No","No"
"Tajikistan","2012","No","Yes","Not specified","Not specified","Not specified","No","No","No","No","No","No","No","No"
"Tajikistan","2010","No","Yes","Not specified","Not specified","Not specified","No","No","No","No","No","No","No","No"
"Tajikistan","2007","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Thailand","2014","Yes","Sale of smokeless tobacco is banned in the country","Not specified","Not specified","Not specified","No","0","No","No","No","No","No","No"
"Thailand","2012","Yes","Sale of smokeless tobacco is banned in the country","Not specified","Not specified","Not specified","No","0","No","No","No","No","No","No"
"Thailand","2010","Yes","Sale of smokeless tobacco is banned in the country","Not specified","Not specified","Not specified","No","2","No","No","No","No","No","No"
"Thailand","2007","Yes","Sale of smokeless tobacco is banned in the country","Not specified","Not specified","Not specified","No","0","No","No","No","No","No","No"
"Republic of North Macedonia","2014","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Republic of North Macedonia","2012","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Republic of North Macedonia","2010","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Republic of North Macedonia","2007","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Timor-Leste","2014","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Timor-Leste","2012","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Timor-Leste","2010","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Timor-Leste","2007","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Togo","2014","No","Yes","65","65","65","Yes","12","Yes","Yes","Yes","Yes","Yes","No"
"Togo","2012","No","Yes","65","65","65","Yes","12","Yes","Yes","No","Yes","Yes","No"
"Togo","2010","No","Yes","50","50","50","Yes","1","Yes","Yes","No","No","No","No"
"Togo","2007","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Tonga","2014","No","Yes","30","30","30","No","4","Yes","No","No","Yes","No","No"
"Tonga","2012","No","Yes","30","30","30","No","4","Yes","No","No","Yes","No","No"
"Tonga","2010","No","Yes","30","30","30","No","4","Yes","No","No","Yes","No","No"
"Tonga","2007","No","Yes","30","30","30","No","0","Yes","No","No","Yes","No","No"
"Trinidad and Tobago","2014","No","Yes","50","50","50","Yes","24","Yes","Yes","Yes","Yes","Yes","Yes"
"Trinidad and Tobago","2012","No","Yes","Not specified","Not specified","Not specified","No","0","Yes","No","No","No","Yes","No"
"Trinidad and Tobago","2010","No","Yes","Not specified","Not specified","Not specified","No","0","Yes","No","No","No","Yes","No"
"Trinidad and Tobago","2007","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Tunisia","2014","No","Yes","Not specified","Not specified","Not specified","Yes","1","Yes","Yes","No","No","Yes","No"
"Tunisia","2012","No","Yes","Not specified","Not specified","Not specified","Yes","1","Yes","Yes","No","No","Yes","No"
"Tunisia","2010","No","Yes","Not specified","Not specified","Not specified","Yes","1","Yes","Yes","No","No","Yes","No"
"Tunisia","2007","No","Yes","Not specified","Not specified","Not specified","Yes","1","Yes","Yes","No","No","Yes","No"
"Turkey","2014","No","Yes","65","65","65","Yes","1","Yes","Yes","Yes","No","Yes","Yes"
"Turkey","2012","No","Yes","65","65","65","Yes","1","Yes","Yes","Yes","No","Yes","Yes"
"Turkey","2010","No","Yes","15","30","0","Yes","1","Yes","Yes","Yes","No","Yes","Yes"
"Turkey","2007","No","Yes","15","30","0","Yes","1","Yes","Yes","Yes","No","Yes","No"
"Turkmenistan","2014","No","Yes","Not specified","Not specified","Not specified","Yes","1","Yes","No","No","Yes","Yes","No"
"Turkmenistan","2012","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Turkmenistan","2010","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Turkmenistan","2007","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Tuvalu","2014","No","Yes","30","30","30","No","0","Yes","No","No","Yes","No","No"
"Tuvalu","2012","No","Yes","30","30","30","No","0","Yes","No","No","Yes","No","No"
"Tuvalu","2010","No","Yes","30","30","30","No","0","Yes","No","No","Yes","No","No"
"Tuvalu","2007","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Uganda","2014","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Uganda","2012","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Uganda","2010","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Uganda","2007","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Ukraine","2014","No","Yes","50","50","50","Yes","11","Yes","Yes","Yes","Yes","Yes","Yes"
"Ukraine","2012","No","Yes","50","50","50","Yes","11","Yes","Yes","Yes","Yes","Yes","Yes"
"Ukraine","2010","No","Yes","50","50","50","Yes","11","Yes","Yes","Yes","Yes","Yes","Yes"
"Ukraine","2007","No","Yes","30","30","30","Yes","7","Yes","Yes","No","Yes","Yes","No"
"United Arab Emirates","2014","No","Yes","50","50","50","No","0","No","Yes","Yes","No","Yes","Yes"
"United Arab Emirates","2012","No","Yes","50","50","50","No","0","No","Yes","Yes","No","Yes","Yes"
"United Arab Emirates","2010","No","Yes","Not specified","Not specified","Not specified","No","Not applicable","No","Yes","No","No","No","Yes"
"United Arab Emirates","2007","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"United Kingdom of Great Britain and Northern Ireland","2014","No","Yes","Not specified","Not specified","Not specified","Yes","1","Yes","Yes","Yes","No","Yes","No"
"United Kingdom of Great Britain and Northern Ireland","2012","No","Yes","Not specified","Not specified","Not specified","Yes","1","Yes","Yes","Yes","No","Yes","No"
"United Kingdom of Great Britain and Northern Ireland","2010","No","Yes","Not specified","Not specified","Not specified","Yes","1","Yes","Yes","Yes","No","Yes","No"
"United Kingdom of Great Britain and Northern Ireland","2007","No","Yes","Not specified","Not specified","Not specified","Yes","1","Yes","Yes","Yes","No","Yes","No"
"United Republic of Tanzania","2014","No","Yes","Not specified","Not specified","Not specified","Yes","10","No","Yes","No","Yes","Yes","No"
"United Republic of Tanzania","2012","No","Yes","Not specified","Not specified","Not specified","Yes","10","No","Yes","No","Yes","Yes","No"
"United Republic of Tanzania","2010","No","Yes","Not specified","Not specified","Not specified","Yes","10","No","Yes","No","Yes","Yes","No"
"United Republic of Tanzania","2007","No","Yes","Not specified","Not specified","Not specified","Yes","10","No","Yes","No","Yes","Yes","No"
"United States of America","2014","No","Yes","30","30","30","Yes","4","Yes","Yes","Yes","Yes","Yes","No"
"United States of America","2012","No","Yes","30","30","30","Yes","4","Yes","Yes","Yes","Yes","Yes","No"
"United States of America","2010","No","Yes","30","30","30","Yes","4","Yes","Yes","Yes","Yes","Yes","No"
"United States of America","2007","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Uruguay","2014","No","Yes","80","80","80","Yes","4","Yes","Yes","Yes","Yes","Yes","Yes"
"Uruguay","2012","No","Yes","80","80","80","Yes","4","Yes","Yes","Yes","Yes","Yes","Yes"
"Uruguay","2010","No","Yes","80","80","80","Yes","6","Yes","Yes","Yes","Yes","Yes","Yes"
"Uruguay","2007","No","Yes","50","50","50","Yes","8","Yes","Yes","Yes","Yes","Yes","Yes"
"Uzbekistan","2014","No","Yes","40","40","40","Yes","7","Yes","Yes","No","Yes","Yes","No"
"Uzbekistan","2012","No","Yes","40","40","40","Yes","7","Yes","Yes","No","Yes","Yes","No"
"Uzbekistan","2010","No","Yes","Not specified","Not specified","Not specified","No","1","No","No","No","No","No","No"
"Uzbekistan","2007","No","Yes","Not specified","Not specified","Not specified","No","0","No","No","No","No","No","No"
"Vanuatu","2014","Yes","Sale of smokeless tobacco is banned in the country","Not specified","Not specified","Not specified","No","0","No","No","No","No","No","No"
"Vanuatu","2012","Yes","Sale of smokeless tobacco is banned in the country","Not specified","Not specified","Not specified","No","0","No","No","No","No","No","No"
"Vanuatu","2010","Yes","Sale of smokeless tobacco is banned in the country","Not specified","Not specified","Not specified","No","0","No","No","No","No","No","No"
"Vanuatu","2007","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Venezuela (Bolivarian Republic of)","2014","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Venezuela (Bolivarian Republic of)","2012","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Venezuela (Bolivarian Republic of)","2010","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Venezuela (Bolivarian Republic of)","2007","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Viet Nam","2014","No","Yes","50","50","50","Yes","6","Yes","Yes","Yes","Yes","Yes","Yes"
"Viet Nam","2012","No","Yes","50","50","50","No","0","Yes","Yes","No","Yes","Yes","Yes"
"Viet Nam","2010","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Viet Nam","2007","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Yemen","2014","No","Yes","50","50","50","No","0","No","No","Yes","No","Yes","Yes"
"Yemen","2012","No","Yes","50","50","50","No","0","No","No","Yes","No","Yes","Yes"
"Yemen","2010","No","Yes","33","Not specified","Not specified","No","0","Yes","No","No","No","No","No"
"Yemen","2007","No","Yes","33","Not specified","Not specified","No","0","Yes","No","No","No","No","No"
"Zambia","2014","No","Yes","Not specified","Not specified","Not specified","Yes","1","Yes","No","No","No","No","No"
"Zambia","2012","No","Yes","Not specified","Not specified","Not specified","Yes","1","Yes","No","No","No","No","No"
"Zambia","2010","No","Yes","Not specified","Not specified","Not specified","Yes","1","Yes","No","No","No","No","No"
"Zambia","2007","No","Yes","Not specified","Not specified","Not specified","Yes","1","Yes","No","No","No","No","No"
"Zimbabwe","2014","No","Yes","15","Not specified","Not specified","Yes","2","No","Yes","No","No","No","No"
"Zimbabwe","2012","No","Yes","15","Not specified","Not specified","Yes","2","No","Yes","No","No","No","No"
"Zimbabwe","2010","No","Yes","15","Not specified","Not specified","Yes","2","No","Yes","No","No","No","No"
"Zimbabwe","2007","No","Yes","15","Not specified","Not specified","Yes","2","No","Yes","No","No","No","No"
